NOME,name,area_ha,area_km2,seca_rischidro,seca_segali,chuva_segali,segener_acesso,segener_disp,saude_malaria,saude_leishmaniose_visceral,saude_leishmaniose_tegumentar,inudacoes_des_hidro,deslizamento_des_hidro
Bragan?a/PA,TIPITINGA,"633,2401","0,753449615","0,28","0,28","0,46","0,62","0,35","0,81","0,69","0,72","0,72","0,72"
Brejo Grande do Araguaia/PA,ILHA DE S?O VICENTE,"2497,89397","13,83518285","0,12","0,47","0,45","0,5","0,35","0,35","0,46","0,61","0,51","0,39"
Bujaru/PA,ARQUIMEC,"5791,42477","1,951019506",0,0,"0,46","0,56","0,35","0,99","0,94","0,89","0,74","0,66"
Bujaru/PA,S?O JUDAS TADEU,"1999,85789","19,50050343",0,0,"0,46","0,56","0,35","0,99","0,94","0,89","0,74","0,66"
Cachoeira do Piri?/PA,ITAMAOARI,"5352,87139","53,49269357",0,0,"0,41","0,54","0,35","0,88","0,66","0,72","0,47","0,3"
Cachoeira do Piri?/PA,CAMIRANGA,"330,18138","3,297369082",0,0,"0,41","0,54","0,35","0,88","0,66","0,72","0,47","0,3"
Cachoeira do Piri?/PA,BELA AURORA,"2421,47329","24,20648528",0,0,"0,41","0,54","0,35","0,88","0,66","0,72","0,47","0,3"
Cachoeira do Arari/PA,GURUPA,"10177,25784","101,6039206","0,27","0,12","0,31","0,51","0,35","0,51","0,19","0,04","0,6","0,54"
Cachoeira do Arari/PA,ROS?RIO,"3834,09937","0,608840002","0,27","0,12","0,31","0,51","0,35","0,51","0,19","0,04","0,6","0,54"
Camet?/PA,"TOMAZIA, TACHIZAL, ITAPOCU, MOLA, BONFIM, FRADE","11956,41288","110,3238442","0,19","0,15","0,27","0,6","0,35","0,99","0,87","0,87","0,89","0,71"
Camet?/PA,PORTO ALEGRE,"2833,23014","26,83929431","0,19","0,15","0,27","0,6","0,35","0,99","0,87","0,87","0,89","0,71"
Camet?/PA,"PORTO GRANDE, MANGABEIRA, SAO BENEDITO DE VISEU","17120,19938","57,1509472","0,19","0,15","0,27","0,6","0,35","0,99","0,87","0,87","0,89","0,71"
Camet?/PA,MATIAS,"1447,49896","14,47465217","0,19","0,15","0,27","0,6","0,35","0,99","0,87","0,87","0,89","0,71"
Camet?/PA,"IGARAPE PRETO, BAIXINHA, PANPELONIA, TEOFILO","24830,08621","0,063030463","0,19","0,15","0,27","0,6","0,35","0,99","0,87","0,87","0,89","0,71"
Capit?o Po?o/PA,S?o Miguel Arcanjo de Nova Ludiceia 1,"4153,43912","0,375452936",0,0,"0,39","0,54","0,35","0,86","0,92","0,9","0,65","0,63"
Capit?o Po?o/PA,MURUTEUAZINHO,"627,97688","0,004070191",0,0,"0,39","0,54","0,35","0,86","0,92","0,9","0,65","0,63"
Capit?o Po?o/PA,NARCISA,"618,70565","3,288894334",0,0,"0,39","0,54","0,35","0,86","0,92","0,9","0,65","0,63"
Capit?o Po?o/PA,JACAREQUARA,"1165,76214","0,760065619",0,0,"0,39","0,54","0,35","0,86","0,92","0,9","0,65","0,63"
Capit?o Po?o/PA,MOCAMBO,"657,31615","0,009640836",0,0,"0,39","0,54","0,35","0,86","0,92","0,9","0,65","0,63"
Colares/PA,CACAU E OVOS,"3566,23119","35,47409478","0,09","0,28","0,47","0,57","0,35","0,34","0,63","0,67","0,43","0,3"
Conc?rdia do Par?/PA,ARQUIMEC,"5791,42477","55,96277127",0,0,"0,26","0,6","0,35","0,94","0,91","0,94","0,73","0,53"
Conc?rdia do Par?/PA,S?O JUDAS TADEU,"1999,85789","0,497908132",0,0,"0,26","0,6","0,35","0,94","0,91","0,94","0,73","0,53"
Igarap?-A?u/PA,NOSSA SENHORA  DO LIVRAMENTO,"65,79562","0,631836638","0,13","0,1","0,48","0,61","0,35","0,48","0,82","0,82","0,62","0,58"
Inhangapi/PA,ITABOCA QUATRO BOCAS E CACOAL,"445,91875","4,459154866",0,0,"0,39","0,55","0,35","0,51","0,81","0,82","0,48","0,4"
Irituia/PA,SANTA RITA DE BARREIRAS,"318,74655","0,002105855",0,0,"0,43","0,55","0,35","0,51","0,9","0,91","0,76","0,62"
Irituia/PA,S?o Miguel Arcanjo de Nova Ludiceia 1,"4153,43912","40,91912805",0,0,"0,43","0,55","0,35","0,51","0,9","0,91","0,76","0,62"
Irituia/PA,S?o Miguel Arcanjo de Nova Ludiceia 2,"178,69941","1,674027897",0,0,"0,43","0,55","0,35","0,51","0,9","0,91","0,76","0,62"
Marituba/PA,ABACATAL-AURA,"569,67512","0,574216954","0,21","0,32","0,55","0,71","0,35","0,85","0,82","0,86","0,87","0,7"
Mocajuba/PA,"TOMAZIA, TACHIZAL, ITAPOCU, MOLA, BONFIM, FRADE","11956,41288","9,237427184","0,07","0,17","0,4","0,58","0,35","0,87","0,77","0,82","0,91","0,76"
Mocajuba/PA,"PORTO GRANDE, MANGABEIRA, SAO BENEDITO DE VISEU","17120,19938","114,0549996","0,07","0,17","0,4","0,58","0,35","0,87","0,77","0,82","0,91","0,76"
Mocajuba/PA,TAMBAI-ACU,"1824,87325","0,172908871","0,07","0,17","0,4","0,58","0,35","0,87","0,77","0,82","0,91","0,76"
Mocajuba/PA,"IGARAPE PRETO, BAIXINHA, PANPELONIA, TEOFILO","24830,08621","28,27612076","0,07","0,17","0,4","0,58","0,35","0,87","0,77","0,82","0,91","0,76"
Moju/PA,SAO SEBASTIAO,"951,78621","9,449724907",0,"0,27","0,37","0,51","0,35","0,94","0,6","0,71","0,7","0,53"
Moju/PA,SANTA MARIA DO TRAQUATEUA,"835,37163","8,342232724",0,"0,27","0,37","0,51","0,35","0,94","0,6","0,71","0,7","0,53"
Moju/PA,SANTO CRISTO,"1769,79283","17,69779096",0,"0,27","0,37","0,51","0,35","0,94","0,6","0,71","0,7","0,53"
Moju/PA,SANTA MARIA DO MIRINDEUA,"1815,98944","18,1597526",0,"0,27","0,37","0,51","0,35","0,94","0,6","0,71","0,7","0,53"
Moju/PA,JACUNDAY,"1711,94755","10,18126566",0,"0,27","0,37","0,51","0,35","0,94","0,6","0,71","0,7","0,53"
Moju/PA,SANTA LUZIA DO TRACUATEUA,"341,95738","3,4195402",0,"0,27","0,37","0,51","0,35","0,94","0,6","0,71","0,7","0,53"
Moju/PA,SANTANA  AXE DO BAIXO JAMBUACU,"1549,4743","15,49473811",0,"0,27","0,37","0,51","0,35","0,94","0,6","0,71","0,7","0,53"
Moju/PA,RIBEIRA DO JAMBU-ACU,"1309,91651","13,0990991",0,"0,27","0,37","0,51","0,35","0,94","0,6","0,71","0,7","0,53"
Moju/PA,"CENTRO OURO, NOSSA SENHORA DAS GRACAS","5297,80461","52,97759871",0,"0,27","0,37","0,51","0,35","0,94","0,6","0,71","0,7","0,53"
Moju/PA,NOSSA SENHORA DA CONCEICAO,"2398,15036","21,40890426",0,"0,27","0,37","0,51","0,35","0,94","0,6","0,71","0,7","0,53"
Moju/PA,MOJU-MIRI,"881,47684","8,202545608",0,"0,27","0,37","0,51","0,35","0,94","0,6","0,71","0,7","0,53"
Moju/PA,LARANJITUBA E AFRICA,"1107,13223","1,224689051",0,"0,27","0,37","0,51","0,35","0,94","0,6","0,71","0,7","0,53"
Moju/PA,SAO MANOEL-PA,"1289,46884","12,89463504",0,"0,27","0,37","0,51","0,35","0,94","0,6","0,71","0,7","0,53"
Nova Timboteua/PA,NOSSA SENHORA  DO LIVRAMENTO,"65,79562","0,026115661",0,"0,01","0,45","0,57","0,35","0,5","0,8","0,86","0,51","0,49"
Oeiras do Par?/PA,PORTO ALEGRE,"2833,23014","1,492854941","0,07","0,16","0,31","0,51","0,35","0,51","0,19","0,09","0,78","0,57"
Oeiras do Par?/PA,"BAILIQUE BEIRA, BAILINQUE CENTRO, POCAO","9664,53072","85,52515762","0,07","0,16","0,31","0,51","0,35","0,51","0,19","0,09","0,78","0,57"
Oeiras do Par?/PA,"IGARAPE PRETO, BAIXINHA, PANPELONIA, TEOFILO","24830,08621","171,6899019","0,07","0,16","0,31","0,51","0,35","0,51","0,19","0,09","0,78","0,57"
Our?m/PA,MOCAMBO,"657,31615","6,563157451",0,0,"0,43","0,57","0,35","0,51","0,75","0,76","0,56","0,6"
Ponta de Pedras/PA,GURUPA,"10177,25784","0,168985908","0,33","0,23","0,38","0,52","0,35","0,97","0,83","0,05","0,91","0,59"
Salvaterra/PA,BACABAL,"515,05377","5,150505878","0,15","0,15","0,38","0,56","0,35","0,89","0,68","0,63","0,46","0,38"
Salvaterra/PA,SANTA LUZIA,"522,22608","5,222212104","0,15","0,15","0,38","0,56","0,35","0,89","0,68","0,63","0,46","0,38"
Salvaterra/PA,ROS?RIO,"3834,09937","37,73229861","0,15","0,15","0,38","0,56","0,35","0,89","0,68","0,63","0,46","0,38"
Santa Izabel do Par?/PA,MACAPAZINHO,"93,04501","0,930443772","0,14","0,14","0,46","0,68","0,35","0,95","0,84","0,86","0,74","0,49"
Santa Luzia do Par?/PA,TIPITINGA,"633,2401","5,785796767",0,0,"0,4","0,54","0,35","0,36","0,61","0,68","0,66","0,65"
Santa Luzia do Par?/PA,MURUTEUAZINHO,"627,97688","6,275661763",0,0,"0,4","0,54","0,35","0,36","0,61","0,68","0,66","0,65"
Santa Luzia do Par?/PA,NARCISA,"618,70565","2,898171491",0,0,"0,4","0,54","0,35","0,36","0,61","0,68","0,66","0,65"
Santa Luzia do Par?/PA,JACAREQUARA,"1165,76214","10,89757442",0,0,"0,4","0,54","0,35","0,36","0,61","0,68","0,66","0,65"
S?o Miguel do Guam?/PA,SANTA RITA DE BARREIRAS,"318,74655","3,185351402",0,0,"0,32","0,61","0,35","0,98","0,89","0,91","0,79","0,63"
S?o Miguel do Guam?/PA,S?o Miguel Arcanjo de Nova Ludiceia 1,"4153,43912","0,240533682",0,0,"0,32","0,61","0,35","0,98","0,89","0,91","0,79","0,63"
S?o Miguel do Guam?/PA,S?o Miguel Arcanjo de Nova Ludiceia 2,"178,69941","0,112953581",0,0,"0,32","0,61","0,35","0,98","0,89","0,91","0,79","0,63"
S?o Miguel do Guam?/PA,MENINO JESUS,"293,1186","2,931133984",0,0,"0,32","0,61","0,35","0,98","0,89","0,91","0,79","0,63"
Tracuateua/PA,JURUSSACA,"200,92722","2,009261174",0,"0,12","0,49","0,58","0,35","0,51","0,7","0,72","0,6","0,47"
Vigia/PA,CACAU E OVOS,"3566,23119","0,187942337","0,28","0,25","0,59","0,72","0,35","0,95","0,89","0,9","0,84","0,59"
Viseu/PA,PACA e ANINGAL,"1297,53877","11,46604161","0,06","0,18","0,32","0,53","0,35",1,"0,91","0,84","0,69","0,7"
Itaubal/AP,CONCEICAO DO MACACOARI,"9406,65993","2,981744273","0,57","0,3","0,28","0,49","0,35","0,5","0,67","0,25","0,41","0,28"
Araguatins/TO,ILHA DE S?O VICENTE,"2497,89397","11,14358108","0,14","0,19","0,33","0,38","0,35","0,87","0,1","0,53","0,57","0,37"
Arraias/TO,KALUNGA,"261829,63356","5,528065051","0,49","0,23","0,15","0,34","0,35","0,36","0,51","0,37","0,68","0,83"
Arraias/TO,KALUNGA DO MIMOSO,"57412,03067","415,861784","0,49","0,23","0,15","0,34","0,35","0,36","0,51","0,37","0,68","0,83"
Dian?polis/TO,LAJEADO,"2354,31557","22,55100964","0,33","0,49","0,18","0,33","0,35","0,74","0,71","0,47","0,53","0,43"
Filad?lfia/TO,GROTAO,"2069,94447","19,10557135","0,18","0,23","0,26","0,37","0,35","0,41","0,57","0,58","0,58","0,4"
Lagoa do Tocantins/TO,BARRA DA AROEIRA,"62519,82342","39,72378971","0,31","0,37","0,25","0,37","0,35","0,38","0,52",0,"0,46","0,38"
Muricil?ndia/TO,COCALINHO,"1591,23735","1,544047662","0,18","0,13","0,16","0,37","0,35","0,01","0,08",0,"0,55","0,41"
Novo Acordo/TO,BARRA DA AROEIRA,"62519,82342","220,8490921","0,4","0,29","0,14","0,35","0,35","0,35","0,43",0,"0,38","0,32"
Palmeirante/TO,GROTAO,"2069,94447","1,593747094","0,06","0,01","0,39","0,36","0,35","0,85","0,79","0,75","0,38","0,27"
Paran?/TO,KALUNGA,"261829,63356","5,369419318","0,66","0,29","0,23","0,34","0,35","0,34","0,45",0,"0,37","0,31"
Paran?/TO,KALUNGA DO MIMOSO,"57412,03067","153,0093519","0,66","0,29","0,23","0,34","0,35","0,34","0,45",0,"0,37","0,31"
Ponte Alta do Tocantins/TO,BARRA DA AROEIRA,"62519,82342","1,588995685","0,43","0,37","0,09","0,36","0,35","0,42","0,67",0,"0,46","0,39"
Porto Alegre do Tocantins/TO,LAJEADO,"2354,31557","0,991978918","0,44","0,34","0,04","0,36","0,35","0,71","0,46",0,"0,43","0,35"
Santa F? do Araguaia/TO,COCALINHO,"1591,23735","14,36821659","0,33","0,16","0,24","0,35","0,35","0,26","0,1","0,45","0,54","0,4"
Santa Tereza do Tocantins/TO,BARRA DA AROEIRA,"62519,82342","361,7867023","0,46","0,35","0,24","0,35","0,35","0,55","0,48","0,53","0,4","0,34"
Palmas/TO,BARRA DA AROEIRA,"62519,82342","1,245208656","0,66","0,64","0,3","0,47","0,35","0,64","0,58","0,41",0,"0,26"
Alc?ntara/MA,ALCANTARA,"78199,95972","780,0211549","0,43","0,54","0,41","0,52","0,35","0,91","0,68","0,7","0,48","0,51"
Anajatuba/MA,QUELUZ,"244,6125","2,409446102","0,26","0,46","0,43","0,54","0,35","0,03","0,13",0,"0,51","0,36"
Anajatuba/MA,MONGE BELO,"5655,24249","41,69329319","0,26","0,46","0,43","0,54","0,35","0,03","0,13",0,"0,51","0,36"
Anajatuba/MA,SANTA ROSA DOS PRETOS,"7502,01405","0,496354925","0,26","0,46","0,43","0,54","0,35","0,03","0,13",0,"0,51","0,36"
Anajatuba/MA,PEDRINHAS,"128,72754","1,252581264","0,26","0,46","0,43","0,54","0,35","0,03","0,13",0,"0,51","0,36"
Bacabal/MA,SAO SEBASTIAO DOS PRETOS,"1889,26215","18,30021273","0,36","0,49","0,59","0,58","0,35","0,85","0,51","0,59","0,81","0,69"
Bacabal/MA,CAMPO REDONDO,"1517,3384","14,31016571","0,36","0,49","0,59","0,58","0,35","0,85","0,51","0,59","0,81","0,69"
Bacuri/MA,BARREIRA,"891,30575","8,879896443","0,16","0,34","0,44","0,52","0,35","0,84","0,53","0,46","0,62","0,5"
Bequim?o/MA,ALCANTARA,"78199,95972","0,004704611","0,36","0,45","0,44","0,54","0,35","0,73","0,62","0,68","0,39","0,32"
Boa Vista do Gurupi/MA,PACA e ANINGAL,"1297,53877","0,548794734",0,0,"0,41","0,52","0,35","0,45","0,73","0,7","0,67","0,45"
Boa Vista do Gurupi/MA,CAMIRANGA,"330,18138","0,004418165",0,0,"0,41","0,52","0,35","0,45","0,73","0,7","0,67","0,45"
Boa Vista do Gurupi/MA,BELA AURORA,"2421,47329","0,008613836",0,0,"0,41","0,52","0,35","0,45","0,73","0,7","0,67","0,45"
Brejo/MA,ARVORE VERDE,"2546,67758","25,46650791","0,27","0,39","0,5","0,55","0,35","0,88","0,84","0,78","0,65","0,44"
Brejo/MA,ALTO BONITO,"1285,30926","12,85301158","0,27","0,39","0,5","0,55","0,35","0,88","0,84","0,78","0,65","0,44"
Brejo/MA,DEP?SITO,"725,51813","7,255126874","0,27","0,39","0,5","0,55","0,35","0,88","0,84","0,78","0,65","0,44"
Brejo/MA,VILA S?O JO?O / CAVALOS,"2346,7715","0,040819087","0,27","0,39","0,5","0,55","0,35","0,88","0,84","0,78","0,65","0,44"
Cachoeira Grande/MA,ESTIVA DOS COT?S,"4130,71882","40,41695209","0,32","0,44","0,48","0,5","0,35","0,45","0,11",0,"0,63","0,63"
C?ndido Mendes/MA,SANTA IZABEL,"985,73495","9,857282016",0,"0,06","0,42","0,5","0,35","0,46","0,12","0,3","0,71","0,68"
C?ndido Mendes/MA,BOM JESUS DOS PRETOS,"197,23356","1,972301774",0,"0,06","0,42","0,5","0,35","0,46","0,12","0,3","0,71","0,68"
Cantanhede/MA,SAO FRANCISCO MALAQUIAS,"1087,41816","0,105335096","0,15","0,35","0,4","0,54","0,35","0,88","0,87","0,76","0,62","0,38"
Capinzal do Norte/MA,PITORO DOS PRETOS,"4305,5182","26,4777284","0,25","0,33","0,4","0,51","0,35","0,7","0,59","0,57","0,33","0,27"
Capinzal do Norte/MA,MATOES MOREIRA,"5557,81682","29,21937884","0,25","0,33","0,4","0,51","0,35","0,7","0,59","0,57","0,33","0,27"
Caxias/MA,OLHO DAGUA DO RAPOSO,"237,82225","2,378212953","0,39","0,39","0,53","0,53","0,35","0,79","0,84","0,71","0,81","0,63"
Caxias/MA,JENIPAPO,"599,80123","4,953337755","0,39","0,39","0,53","0,53","0,35","0,79","0,84","0,71","0,81","0,63"
Caxias/MA,USINA VELHA,"1216,03674","12,16034644","0,39","0,39","0,53","0,53","0,35","0,79","0,84","0,71","0,81","0,63"
Centro Novo do Maranh?o/MA,ITAMAOARI,"5352,87139","0,03565009",0,"0,09","0,31","0,48","0,35","0,47","0,17","0,03","0,53","0,73"
Cod?/MA,SANTA JOANA,"1197,41518","11,97418328","0,31","0,49","0,55","0,53","0,35","0,86","0,86","0,75","0,93","0,75"
Cod?/MA,MOCORONGO,"164,77542","1,647748318","0,31","0,49","0,55","0,53","0,35","0,86","0,86","0,75","0,93","0,75"
Cod?/MA,MATOES MOREIRA,"5557,81682","26,36120031","0,31","0,49","0,55","0,53","0,35","0,86","0,86","0,75","0,93","0,75"
Cururupu/MA,ALIANCA / SANTA JOANA,"7626,28484","57,67251365","0,41","0,46","0,34","0,52","0,35","0,48","0,14",0,"0,79","0,7"
Icatu/MA,JACARE? DOS PRETOS,"1521,78234","15,217003","0,57","0,63","0,42","0,53","0,35","0,86","0,73","0,61","0,62","0,63"
Itapecuru Mirim/MA,PIQUI/SANTA MARIA,"5587,71134","40,85754795","0,45","0,5","0,31","0,57","0,35","0,41","0,58","0,65","0,67","0,41"
Itapecuru Mirim/MA,IPIRANGA DO CARMINA,"1423,62656","14,23601421","0,45","0,5","0,31","0,57","0,35","0,41","0,58","0,65","0,67","0,41"
Itapecuru Mirim/MA,QUELUZ,"244,6125","0,036656674","0,45","0,5","0,31","0,57","0,35","0,41","0,58","0,65","0,67","0,41"
Itapecuru Mirim/MA,MATA DE S?O BENEDITO,"1133,43346","11,33422619","0,45","0,5","0,31","0,57","0,35","0,41","0,58","0,65","0,67","0,41"
Itapecuru Mirim/MA,SANTA MARIA DOS PINHEIROS,"1021,47094","10,21442985","0,45","0,5","0,31","0,57","0,35","0,41","0,58","0,65","0,67","0,41"
Itapecuru Mirim/MA,SANTA HELENA,"478,3605","4,783559719","0,45","0,5","0,31","0,57","0,35","0,41","0,58","0,65","0,67","0,41"
Itapecuru Mirim/MA,MONGE BELO,"5655,24249","14,24424047","0,45","0,5","0,31","0,57","0,35","0,41","0,58","0,65","0,67","0,41"
Itapecuru Mirim/MA,BENFICA,"3547,4631","35,47453805","0,45","0,5","0,31","0,57","0,35","0,41","0,58","0,65","0,67","0,41"
Itapecuru Mirim/MA,SANTANA e S?O PATR?CIO,"1280,64678","7,707918066","0,45","0,5","0,31","0,57","0,35","0,41","0,58","0,65","0,67","0,41"
Itapecuru Mirim/MA,SANTA ROSA DOS PRETOS,"7502,01405","74,51082746","0,45","0,5","0,31","0,57","0,35","0,41","0,58","0,65","0,67","0,41"
Itapecuru Mirim/MA,PEDRINHAS,"128,72754","0,034706588","0,45","0,5","0,31","0,57","0,35","0,41","0,58","0,65","0,67","0,41"
Lago Verde/MA,CAMPO REDONDO,"1517,3384","0,52214926","0,34","0,4","0,41","0,53","0,35","0,8","0,83","0,82","0,41","0,33"
Mat?es/MA,JENIPAPO,"599,80123","1,044625383","0,35","0,41","0,42","0,51","0,35","0,73","0,72","0,31","0,55","0,32"
Mirinzal/MA,ALIANCA / SANTA JOANA,"7626,28484","21,14492851","0,28","0,51","0,43","0,52","0,35","0,43","0,48","0,42","0,54","0,51"
Morros/MA,JACARE? DOS PRETOS,"1521,78234","0,000648645","0,35","0,5","0,42","0,5","0,35","0,47","0,11","0,03","0,58","0,56"
Nina Rodrigues/MA,BARRO VERMELHO,"472,27014","0,482307466","0,55","0,5","0,43","0,53","0,35","0,46","0,76","0,04","0,76","0,55"
Olinda Nova do Maranh?o/MA,CHARCO,"1346,3726","0,0005333","0,25","0,29","0,63","0,62","0,35","0,51","0,68","0,67","0,5","0,44"
Palmeir?ndia/MA,CRUZEIRO,"300,78928","3,007876242","0,12","0,25","0,46","0,56","0,35","0,34","0,65","0,66","0,39","0,32"
Pedro do Ros?rio/MA,SANTO INACIO,"1397,98661","13,9799268","0,03","0,22","0,44","0,51","0,35","0,32","0,85","0,81","0,53","0,39"
Pedro do Ros?rio/MA,IMBIRAL,"46,53208","0,465319879","0,03","0,22","0,44","0,51","0,35","0,32","0,85","0,81","0,53","0,39"
Peritor?/MA,PITORO DOS PRETOS,"4305,5182","16,91541853","0,27","0,49","0,55","0,54","0,35","0,78","0,74","0,74","0,45","0,38"
Peritor?/MA,LAGO GRANDE,"2140,08015","21,40058938","0,27","0,49","0,55","0,54","0,35","0,78","0,74","0,74","0,45","0,38"
Pinheiro/MA,COTOVELO,"1221,3278","3,525494155","0,25","0,27","0,48","0,57","0,35","0,03","0,18","0,53","0,74","0,56"
Pinheiro/MA,ALTAMIRA,"1221,03387","11,56794029","0,25","0,27","0,48","0,57","0,35","0,03","0,18","0,53","0,74","0,56"
Pinheiro/MA,RIO DOS PEIXES,"54,26665","0,444711196","0,25","0,27","0,48","0,57","0,35","0,03","0,18","0,53","0,74","0,56"
